APP		EMPRESA			EMAIL						URL

[menuapps]
Automacao	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/automacao/original/
Financeiro	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/financeiro/original
NanoPonto	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/nanoponto/original
Zap		NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/zap/original
NanoStore	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/nanostore/original
GPS Musical	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/gpsmusical/original
BPA		NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/bpa/original
Tatoo		NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/tatoo/original
RioB		NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob
Cameras RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-cameras/riob
Telefonia RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-telefonia/riob
Chat IA RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-chat-ia/riob
Chat RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-chat/riob
E-mail RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-email/riob
ESXi RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-esxi/riob
Importar XML RioB	NanotechSoft	filesystem	https://nanotechsoft.onrender.com/apps/riob-xml/riob
